brand_slug,brand_id,phone_id,phone_name,phone_url,image_url,listing_page_url,scraped_at_utc,status,storage_options_gb,price_text,price_currency,ferbi_colores,ferbi_marcas,ferbi_attributes_json
ferbi,ferbi,43745,Celular Samsung A10 DS 32GB UNL Negro Reacondicionado,https://ferbi.com.ar/shop/1025876-celular-samsung-a10-ds-32gb-unl-negro-reacondicionado-43745?category=38,,https://ferbi.com.ar/shop/category/celulares-38,2026-04-30T03:47:36.210777+00:00,,,"$ 79.300,85",ARS,,,{}
ferbi,ferbi,142769,Celular Samsung A21S 64GB Azul Grado C Reacondicionado,https://ferbi.com.ar/shop/1024007-celular-samsung-a21s-64gb-azul-grado-c-reacondicionado-142769?category=38,,https://ferbi.com.ar/shop/category/celulares-38,2026-04-30T03:47:36.210777+00:00,,,"$ 155.999,00",ARS,,Samsung,"{""Marca"": [""Samsung""]}"
ferbi,ferbi,256377,Celular Samsung A24 Reacondicionado,https://ferbi.com.ar/shop/celular-samsung-a24-reacondicionado-256377?category=38,,https://ferbi.com.ar/shop/category/celulares-38,2026-04-30T03:47:36.210777+00:00,Como Nuevo|Re Bueno|Bueno,128,"$ 224.891,14",ARS,Negro|Plateado|Verde,Samsung,"{""Condición del equipo"": [""Como Nuevo"", ""Re Bueno"", ""Bueno""], ""Memoria interna (GB)"": [""128""], ""Color"": [""Negro"", ""Plateado"", ""Verde""], ""Linea"": [""Galaxy A""], ""Marca"": [""Samsung""]}"
ferbi,ferbi,43801,Celular Samsung A30S 64GB Blanco Grado C Reacondicionado,https://ferbi.com.ar/shop/1020724-celular-samsung-a30s-64gb-blanco-grado-c-reacondicionado-43801?category=38,,https://ferbi.com.ar/shop/category/celulares-38,2026-04-30T03:47:36.210777+00:00,,,"$ 122.132,91",ARS,,Samsung,"{""Marca"": [""Samsung""]}"
ferbi,ferbi,43804,Celular Samsung A31 128GB Azul Grado C Reacondicionado,https://ferbi.com.ar/shop/1026612-celular-samsung-a31-128gb-azul-grado-c-reacondicionado-43804?category=38,,https://ferbi.com.ar/shop/category/celulares-38,2026-04-30T03:47:36.210777+00:00,,,"$ 132.681,19",ARS,,Samsung,"{""Marca"": [""Samsung""]}"
ferbi,ferbi,254524,Celular Samsung A34 5G Reacondicionado,https://ferbi.com.ar/shop/celular-samsung-a34-5g-reacondicionado-254524?category=38,,https://ferbi.com.ar/shop/category/celulares-38,2026-04-30T03:47:36.210777+00:00,Como Nuevo|Re Bueno|Bueno,128,"$ 223.406,00",ARS,Plateado,Samsung,"{""Condición del equipo"": [""Como Nuevo"", ""Re Bueno"", ""Bueno""], ""Memoria interna (GB)"": [""128""], ""Color"": [""Plateado""], ""Marca"": [""Samsung""]}"
ferbi,ferbi,256378,Celular Samsung A34 5G Reacondicionado,https://ferbi.com.ar/shop/celular-samsung-a34-5g-reacondicionado-256378?category=38,,https://ferbi.com.ar/shop/category/celulares-38,2026-04-30T03:47:36.210777+00:00,Como Nuevo|Re Bueno|Bueno,128,"$ 223.406,33",ARS,Blanco|Negro|Plateado|Verde,Samsung,"{""Condición del equipo"": [""Como Nuevo"", ""Re Bueno"", ""Bueno""], ""Memoria interna (GB)"": [""128""], ""Color"": [""Blanco"", ""Negro"", ""Plateado"", ""Verde""], ""Linea"": [""Galaxy A""], ""Marca"": [""Samsung""]}"
ferbi,ferbi,43844,Celular Samsung A51 DS 128GB Azul UNL Reacondicionado,https://ferbi.com.ar/shop/1021486-celular-samsung-a51-ds-128gb-azul-unl-reacondicionado-43844?category=38,,https://ferbi.com.ar/shop/category/celulares-38,2026-04-30T03:47:36.210777+00:00,,,"$ 184.652,00",ARS,,,{}
ferbi,ferbi,44131,Celular Samsung A53 128GB Blanco Grado C,https://ferbi.com.ar/shop/1054508-celular-samsung-a53-128gb-blanco-grado-c-44131?category=38,,https://ferbi.com.ar/shop/category/celulares-38,2026-04-30T03:47:36.210777+00:00,,,"$ 291.869,00",ARS,,Samsung,"{""Marca"": [""Samsung""]}"
ferbi,ferbi,281490,Celular Samsung Galaxy A04 - OPEN BOX,https://ferbi.com.ar/shop/celular-samsung-galaxy-a04-open-box-281490?page=2&category=38,,https://ferbi.com.ar/shop/category/celulares-38/page/2,2026-04-30T03:47:36.210777+00:00,Open Box,32|64|128,"$ 100.834,00",ARS,Blanco|Negro|Verde,Samsung,"{""Condición del equipo"": [""Open Box""], ""Memoria interna (GB)"": [""32"", ""64"", ""128""], ""Color"": [""Blanco"", ""Negro"", ""Verde""], ""Memoria RAM"": [""4 GB""], ""Tipo de memoria expandible"": [""MicroSD""], ""Camara principal"": [""50.0 MP + 2.0 MP""], ""Tipo de chip"": [""Nano SIM""], ""Bateria"": [""5000 mAh""], ""4G-LTE"": [""Sí""], ""Red 5G"": [""No""], ""Procesador"": [""Octa-Core 2.3GHz, 1.8GHz""], ""Dimensiones"": [""164.4 x 76.3 x 9.1 mm""], ""Marca"": [""Samsung""], ""Peso"": [""192 gr""], ""Tamaño Pantalla"": [""6.5""], ""Pantalla tipo"": [""PLS LCD""], ""Pantalla resolución"": [""720 x 1600""]}"
ferbi,ferbi,43740,Celular Samsung Galaxy A10 - Grado Bueno Reacondicionado,https://ferbi.com.ar/shop/1045290-celular-samsung-galaxy-a10-grado-bueno-reacondicionado-43740?category=38,,https://ferbi.com.ar/shop/category/celulares-38,2026-04-30T03:47:36.210777+00:00,,,"$ 79.300,85",ARS,,,{}
ferbi,ferbi,281533,Celular Samsung Galaxy A14 Lte 128Gb - OPEN BOX,https://ferbi.com.ar/shop/celular-samsung-galaxy-a14-lte-128gb-open-box-281533?page=2&category=38,,https://ferbi.com.ar/shop/category/celulares-38/page/2,2026-04-30T03:47:36.210777+00:00,Open Box,128GB,"$ 198.776,00",ARS,Black|Light Green|Silver,Samsung,"{""Condición del equipo"": [""Open Box""], ""Color"": [""Black"", ""Light Green"", ""Silver""], ""Memoria RAM"": [""4 GB""], ""Memoria interna"": [""128GB""], ""Alto"": [""167.7 mm""], ""Procesador"": [""Octa Core""], ""Wifi"": [""Sí""], ""Marca"": [""Samsung""], ""Dual Sim"": [""No""], ""Bluetooth"": [""Sí""], ""Peso"": [""201 gr""], ""Ancho"": [""78 mm""], ""Profundidad"": [""9.1 mm""], ""Almacenamiento disponible"": [""105GB""], ""USB"": [""Sí""], ""Sistema operativo"": [""Android""], ""Resolución de la cámara frontal principal"": [""13 MP""], ""Resolución de la cámara trasera principal"": [""50 MP + 5 MP + 2 MP""], ""NFC"": [""No""]}"
ferbi,ferbi,256103,Celular Samsung Galaxy A14 Reacondicionado,https://ferbi.com.ar/shop/celular-samsung-galaxy-a14-reacondicionado-256103?category=38,,https://ferbi.com.ar/shop/category/celulares-38,2026-04-30T03:47:36.210777+00:00,Como Nuevo|Re Bueno|Bueno,64|128,"$ 144.185,27",ARS,Negro|Plateado|Verde,Samsung,"{""Condición del equipo"": [""Como Nuevo"", ""Re Bueno"", ""Bueno""], ""Memoria interna (GB)"": [""64"", ""128""], ""Color"": [""Negro"", ""Plateado"", ""Verde""], ""Marca"": [""Samsung""]}"
ferbi,ferbi,16099,Celular Samsung Galaxy A23 Reacondicionado,https://ferbi.com.ar/shop/celular-samsung-galaxy-a23-reacondicionado-16099?category=38,,https://ferbi.com.ar/shop/category/celulares-38,2026-04-30T03:47:36.210777+00:00,Como Nuevo|Re Bueno|Bueno,64|128,"$ 190.524,00",ARS,Azul|Blanco|Celeste|Negro,Samsung,"{""Condición del equipo"": [""Como Nuevo"", ""Re Bueno"", ""Bueno""], ""Memoria interna (GB)"": [""64"", ""128""], ""Color"": [""Azul"", ""Blanco"", ""Celeste"", ""Negro""], ""Marca"": [""Samsung""]}"
ferbi,ferbi,15315,Celular Samsung Galaxy A30s Reacondicionado,https://ferbi.com.ar/shop/celular-samsung-galaxy-a30s-reacondicionado-15315?category=38,,https://ferbi.com.ar/shop/category/celulares-38,2026-04-30T03:47:36.210777+00:00,Como Nuevo|Re Bueno|Bueno,32|64|128,"$ 122.132,91",ARS,Blanco|Negro|Verde|Violeta,Samsung,"{""Condición del equipo"": [""Como Nuevo"", ""Re Bueno"", ""Bueno""], ""Memoria interna (GB)"": [""32"", ""64"", ""128""], ""Color"": [""Blanco"", ""Negro"", ""Verde"", ""Violeta""], ""Linea"": [""Galaxy A""], ""Marca"": [""Samsung""]}"
ferbi,ferbi,152514,Celular Samsung Galaxy A32 128GB Blanco Reacondicionado,https://ferbi.com.ar/shop/1036062-celular-samsung-galaxy-a32-128gb-blanco-reacondicionado-152514?category=38,,https://ferbi.com.ar/shop/category/celulares-38,2026-04-30T03:47:36.210777+00:00,,,"$ 154.283,27",ARS,,,{}
ferbi,ferbi,281489,Celular Samsung Galaxy A34 5G - OPEN BOX,https://ferbi.com.ar/shop/celular-samsung-galaxy-a34-5g-open-box-281489?category=38,,https://ferbi.com.ar/shop/category/celulares-38,2026-04-30T03:47:36.210777+00:00,Open Box,128|256,"$ 432.394,00",ARS,Awesome Graphite|Awesome Lime|Awesome Silver|Knox Black,Samsung,"{""Condición del equipo"": [""Open Box""], ""Memoria interna (GB)"": [""128"", ""256""], ""Color"": [""Awesome Graphite"", ""Awesome Lime"", ""Awesome Silver"", ""Knox Black""], ""Marca"": [""Samsung""]}"
ferbi,ferbi,16079,Celular Samsung Galaxy A52 Reacondicionado,https://ferbi.com.ar/shop/celular-samsung-galaxy-a52-reacondicionado-16079?category=38,,https://ferbi.com.ar/shop/category/celulares-38,2026-04-30T03:47:36.210777+00:00,Como Nuevo|Re Bueno|Bueno,128|256,"$ 215.380,50",ARS,Azul|Blanco|Negro|Violeta,Samsung,"{""Condición del equipo"": [""Como Nuevo"", ""Re Bueno"", ""Bueno""], ""Memoria interna (GB)"": [""128"", ""256""], ""Color"": [""Azul"", ""Blanco"", ""Negro"", ""Violeta""], ""Marca"": [""Samsung""]}"
ferbi,ferbi,16101,Celular Samsung Galaxy A53 Reacondicionado,https://ferbi.com.ar/shop/celular-samsung-galaxy-a53-reacondicionado-16101?category=38,,https://ferbi.com.ar/shop/category/celulares-38,2026-04-30T03:47:36.210777+00:00,Como Nuevo|Re Bueno|Bueno,128|256,"$ 418.950,00",ARS,Azul|Blanco|Celeste|Naranja|Negro|Coral,Samsung,"{""Condición del equipo"": [""Como Nuevo"", ""Re Bueno"", ""Bueno""], ""Memoria interna (GB)"": [""128"", ""256""], ""Color"": [""Azul"", ""Blanco"", ""Celeste"", ""Naranja"", ""Negro"", ""Coral""], ""Marca"": [""Samsung""]}"
ferbi,ferbi,16088,Celular Samsung Galaxy A72 Reacondicionado,https://ferbi.com.ar/shop/celular-samsung-galaxy-a72-reacondicionado-16088?category=38,,https://ferbi.com.ar/shop/category/celulares-38,2026-04-30T03:47:36.210777+00:00,Como Nuevo|Re Bueno|Bueno,128,"$ 376.171,74",ARS,Azul|Blanco|Negro|Violeta,Samsung,"{""Condición del equipo"": [""Como Nuevo"", ""Re Bueno"", ""Bueno""], ""Memoria interna (GB)"": [""128""], ""Color"": [""Azul"", ""Blanco"", ""Negro"", ""Violeta""], ""Marca"": [""Samsung""]}"
ferbi,ferbi,254528,Celular Samsung Galaxy Z Flip 5 Reacondicionado,https://ferbi.com.ar/shop/celular-samsung-galaxy-z-flip-5-reacondicionado-254528?category=38,,https://ferbi.com.ar/shop/category/celulares-38,2026-04-30T03:47:36.210777+00:00,Como Nuevo|Re Bueno|Bueno,256|512,"$ 515.999,00",ARS,Azul|Blanco|Negro|Rosa|Verde,Samsung,"{""Condición del equipo"": [""Como Nuevo"", ""Re Bueno"", ""Bueno""], ""Memoria interna (GB)"": [""256"", ""512""], ""Color"": [""Azul"", ""Blanco"", ""Negro"", ""Rosa"", ""Verde""], ""Linea"": [""Galaxy Z""], ""Marca"": [""Samsung""]}"
ferbi,ferbi,62610,Celular Samsung Galaxy Z Flip4 Reacondicionado,https://ferbi.com.ar/shop/celular-samsung-galaxy-z-flip4-reacondicionado-62610?category=38,,https://ferbi.com.ar/shop/category/celulares-38,2026-04-30T03:47:36.210777+00:00,Como Nuevo|Re Bueno|Bueno,128|256,"$ 340.999,00",ARS,Blanco|Celeste|Negro|Rosa|Verde|Violeta,Samsung,"{""Condición del equipo"": [""Como Nuevo"", ""Re Bueno"", ""Bueno""], ""Memoria interna (GB)"": [""128"", ""256""], ""Color"": [""Blanco"", ""Celeste"", ""Negro"", ""Rosa"", ""Verde"", ""Violeta""], ""Linea"": [""Galaxy Z""], ""Marca"": [""Samsung""]}"
ferbi,ferbi,62611,Celular Samsung Galaxy Z Fold 4 Reacondicionado,https://ferbi.com.ar/shop/celular-samsung-galaxy-z-fold-4-reacondicionado-62611?category=38,,https://ferbi.com.ar/shop/category/celulares-38,2026-04-30T03:47:36.210777+00:00,Como Nuevo|Re Bueno|Bueno,256|512,"$ 689.999,00",ARS,Blanco|Gris|Negro|Rosa,Samsung,"{""Condición del equipo"": [""Como Nuevo"", ""Re Bueno"", ""Bueno""], ""Memoria interna (GB)"": [""256"", ""512""], ""Color"": [""Blanco"", ""Gris"", ""Negro"", ""Rosa""], ""Linea"": [""Galaxy Z""], ""Marca"": [""Samsung""]}"
ferbi,ferbi,48895,Celular Samsung Galaxy ZFold4 512GB Gris Grado B Reacondicionado,https://ferbi.com.ar/shop/1054883-celular-samsung-galaxy-zfold4-512gb-gris-grado-b-reacondicionado-48895?category=38,,https://ferbi.com.ar/shop/category/celulares-38,2026-04-30T03:47:36.210777+00:00,,,"$ 719.999,00",ARS,,Samsung,"{""Marca"": [""Samsung""]}"
ferbi,ferbi,279948,Celular Samsung Z FLIP6 Reacondicionado,https://ferbi.com.ar/shop/celular-samsung-z-flip6-reacondicionado-279948?category=38,,https://ferbi.com.ar/shop/category/celulares-38,2026-04-30T03:47:36.210777+00:00,Como Nuevo|Re Bueno|Bueno,256|512,"$ 862.699,00",ARS,Amarillo|Azul|Blanco|Celeste|Dorado|Gris|Negro|Verde,Samsung,"{""Condición del equipo"": [""Como Nuevo"", ""Re Bueno"", ""Bueno""], ""Memoria interna (GB)"": [""256"", ""512""], ""Color"": [""Amarillo"", ""Azul"", ""Blanco"", ""Celeste"", ""Dorado"", ""Gris"", ""Negro"", ""Verde""], ""Marca"": [""Samsung""]}"
ferbi,ferbi,253537,Celular Samsung Z Flip 5 256GB Reacondicionado,https://ferbi.com.ar/shop/celular-samsung-z-flip-5-256gb-reacondicionado-253537?category=38,,https://ferbi.com.ar/shop/category/celulares-38,2026-04-30T03:47:36.210777+00:00,Como Nuevo|Re Bueno|Bueno,256,"$ 464.999,00",ARS,Azul|Blanco|Negro|Rosa|Verde,Samsung,"{""Condición del equipo"": [""Como Nuevo"", ""Re Bueno"", ""Bueno""], ""Memoria interna (GB)"": [""256""], ""Color"": [""Azul"", ""Blanco"", ""Negro"", ""Rosa"", ""Verde""], ""Linea"": [""Galaxy Z""], ""Marca"": [""Samsung""]}"
